date_time,turnoverRatio,transactionAmount,pe_ttm,pe,pb,ps,pcf
s0d1,3.6794,17229.0,34.4425,32.3029,4.9425,3.818,-578.77
s1d1,2.515,3706.0,28.9934,27.2726,5.0552,3.0484,23.826
s2d1,1.2858,5136.0,42.9352,41.9279,4.8083,4.1392,-58.2185
s3d1,2.2007,3280.0,15.2245,13.8032,2.1904,0.6691,61.0491
s4d1,0.8627,5291.0,-369.985,-433.1736,3.0714,2.937,-25.2279
s5d1,1.4799,3602.0,79.251,98.2418,10.4734,16.9784,-220.7509
s6d1,3.1936,50013.0,230.3588,-84.8581,1.6212,0.6232,9.568
s7d1,1.1519,5420.0,28.0377,27.6825,7.9503,10.4892,-236.7706
s8d1,1.9779,5518.0,33.4061,29.6512,11.1719,4.8248,58.7035
s9d1,4.9,18490.0,16.5951,14.7185,3.042,0.7481,-46.2671
s10d1,2.9905,7274.0,20.2826,22.1809,2.806,3.1916,-25.3987
s11d1,1.0368,3496.0,26.9758,23.5431,4.9103,6.8342,-42.4936
s12d1,4.2597,8541.0,11.5198,13.3113,2.8385,1.1,17.7635
s13d1,3.1857,7530.0,37.6533,35.6305,10.5235,7.5046,63.2285
s14d1,0.6082,1845.0,37.9033,36.3502,3.7339,4.999,-56.6539
s15d1,1.7306,2983.0,33.4666,32.2419,6.6982,4.7992,81.8548
s16d1,1.5803,16461.0,38.7242,22.4722,2.2072,1.6809,40.6072
s17d1,4.55,18709.0,60.9393,324.3176,2.2817,2.2466,-66.0014
s18d1,2.5455,11528.0,37.7193,37.0859,5.6527,4.8383,141.8562
s19d1,3.5047,6887.0,32.659,32.9395,3.4601,5.1796,-40.8809
s20d1,2.4453,5220.0,31.5141,30.8933,5.2781,3.6544,58.8389
s21d1,1.0387,12744.0,46.0163,43.3596,6.2714,3.4693,-61.8343
s22d1,2.2378,4953.0,40.6832,34.83,5.3923,5.4422,-106.6592
s23d1,1.6186,4451.0,54.4009,47.6946,5.7871,8.5553,-44.0763
s24d1,3.1668,6877.0,34.9581,32.8739,5.4427,8.3403,-50.2754
s25d1,4.5848,11075.0,23.1071,18.736,4.1257,4.4192,19.4013
s26d1,7.9097,94142.0,89.2645,148.6756,9.7802,15.543,-70.8369
s27d1,1.1782,3740.0,96.1064,45.0486,6.7974,2.7324,-48.7649
s28d1,0.7867,19235.0,17.2314,17.8381,5.2181,8.6027,444.9992
s29d1,3.5036,19249.0,22.8091,23.451,5.2611,8.3131,-100.1789
s30d1,0.3857,2837.0,16.3965,15.8249,3.2229,1.3388,34.0749
s31d1,12.5953,11915.0,153.8318,87.8115,3.4153,1.4729,-43.9449
s32d1,1.9541,3289.0,88.6586,75.8461,5.7512,17.5525,-359.276
s33d1,1.6088,19825.0,13.6577,14.0187,3.5463,2.3615,69.6714
s34d1,8.2292,35162.0,66.3785,-277.2957,3.2748,0.5498,-1451.5223
s35d1,0.7094,9521.0,33.4734,22.8989,4.2684,1.9392,-42.5742
s36d1,1.033,2704.0,23.8007,24.9279,4.4898,5.2474,471.0261
